episode_record_idx,global_step,rooms_visited,episodic_return,episodic_length,gap_steps_since_prev_multiroom,gap_episodes_since_prev_multiroom
34873,19492768,4,400,714,576,2
34875,19493536,4,400,737,768,2
34878,19496608,2,400,633,3072,3
34880,19498976,4,400,800,2368,2
34881,19499232,4,400,797,256,1
34883,19502304,2,400,2237,3072,2
34889,19513184,4,400,615,10880,6
34890,19514080,4,400,758,896,1
34891,19514912,4,400,1670,832,1
34892,19515136,4,400,755,224,1
34894,19516672,2,400,750,1536,2
34895,19517824,4,400,782,1152,1
34898,19521728,4,400,702,3904,3
34900,19523840,4,400,660,2112,2
34901,19524000,4,400,677,160,1
34903,19526464,4,400,2543,2464,2
34909,19536736,2,400,842,10272,6
34918,19547488,2,400,577,10752,9
34926,19559328,4,400,647,11840,8
34932,19564512,4,400,969,5184,6
34935,19566272,4,400,1895,1760,3
34942,19578144,2,400,720,11872,7
34944,19580704,2,400,606,2560,2
34948,19586304,2,400,989,5600,4
34950,19588736,4,400,681,2432,2
34952,19589536,2,400,943,800,2
34953,19590304,2,400,578,768,1
34960,19599456,4,400,503,9152,7
34961,19600288,4,400,3205,832,1
34962,19601312,4,400,392,1024,1
34970,19606784,4,400,837,5472,8
34976,19616128,4,400,737,9344,6
34978,19616832,4,400,881,704,2
34979,19617088,4,400,961,256,1
34986,19622144,2,400,389,5056,7
34988,19622592,2,400,651,448,2
34989,19625216,4,400,804,2624,1
34999,19644960,4,400,866,19744,10
35004,19649760,4,400,766,4800,5
35007,19651584,2,400,563,1824,3
35010,19658944,2,400,678,7360,3
35015,19666592,4,400,578,7648,5
35016,19666848,4,400,773,256,1
35024,19674496,2,400,423,7648,8
35029,19680672,2,400,575,6176,5
35040,19694240,4,400,853,13568,11
35045,19698560,4,400,2694,4320,5
35047,19702176,4,400,1013,3616,2
35048,19702304,4,400,1107,128,1
35050,19703616,4,400,909,1312,2
35051,19705600,4,400,620,1984,1
35053,19709120,2,400,641,3520,2
35062,19717632,2,400,578,8512,9
35064,19719424,4,400,935,1792,2
35066,19722432,4,400,587,3008,2
35069,19726528,2,400,716,4096,3
35071,19728512,2,400,558,1984,2
35079,19737152,2,400,694,8640,8
35081,19741632,4,400,901,4480,2
35084,19745536,2,400,721,3904,3
35085,19748320,2,400,680,2784,1
35088,19750496,2,400,801,2176,3
35096,19759040,4,400,737,8544,8
35099,19764000,4,400,2296,4960,3
35101,19766016,4,400,1887,2016,2
